Date,Home Team,Away Team,Home Score,Away Score
2025-04-09T17:10:00Z,Detroit Tigers,New York Yankees,3,4
2025-04-09T18:20:00Z,Chicago Cubs,Texas Rangers,2,6
2025-04-09T19:35:00Z,Athletics,San Diego Padres,1,2
2025-04-09T19:40:00Z,Arizona Diamondbacks,Baltimore Orioles,9,0
2025-04-09T19:45:00Z,San Francisco Giants,Cincinnati Reds,8,6
2025-04-09T20:05:00Z,Washington Nationals,Los Angeles Dodgers,5,6
2025-04-09T20:10:00Z,Seattle Mariners,Houston Astros,7,6
2025-04-09T22:10:00Z,Cleveland Guardians,Chicago White Sox,3,2
2025-04-09T22:45:00Z,Boston Red Sox,Toronto Blue Jays,1,2
2025-04-09T23:05:00Z,Tampa Bay Rays,Los Angeles Angels,5,4
2025-04-09T23:15:00Z,Atlanta Braves,Philadelphia Phillies,3,4
2025-04-09T23:40:00Z,Kansas City Royals,Minnesota Twins,0,4
2025-04-10T00:40:00Z,Colorado Rockies,Milwaukee Brewers,2,17
2025-04-10T17:10:00Z,Tampa Bay Rays,Los Angeles Angels,1,11
2025-04-10T17:10:00Z,Cleveland Guardians,Chicago White Sox,6,1
2025-04-10T18:10:00Z,Kansas City Royals,Minnesota Twins,3,2
2025-04-10T19:10:00Z,Colorado Rockies,Milwaukee Brewers,7,2
2025-04-10T20:10:00Z,Boston Red Sox,Toronto Blue Jays,4,3
2025-04-10T23:15:00Z,Atlanta Braves,Philadelphia Phillies,4,2
2025-04-11T22:10:00Z,Cleveland Guardians,Kansas City Royals,7,0
2025-04-11T22:40:00Z,Cincinnati Reds,Pittsburgh Pirates,5,3
2025-04-11T23:05:00Z,Tampa Bay Rays,Atlanta Braves,6,3
2025-04-11T23:10:00Z,Miami Marlins,Washington Nationals,4,7
2025-04-11T23:40:00Z,Chicago White Sox,Boston Red Sox,11,1
2025-04-12T00:10:00Z,Houston Astros,Los Angeles Angels,14,3
2025-04-12T00:10:00Z,Minnesota Twins,Detroit Tigers,6,7
2025-04-12T00:15:00Z,St. Louis Cardinals,Philadelphia Phillies,2,0
2025-04-12T01:40:00Z,San Diego Padres,Colorado Rockies,8,0
2025-04-12T01:40:00Z,Seattle Mariners,Texas Rangers,5,3
2025-04-12T01:40:00Z,Arizona Diamondbacks,Milwaukee Brewers,0,7
2025-04-12T02:05:00Z,Athletics,New York Mets,6,7
2025-04-12T02:10:00Z,Los Angeles Dodgers,Chicago Cubs,3,0
2025-04-12T18:10:00Z,Minnesota Twins,Detroit Tigers,0,4
2025-04-12T18:15:00Z,St. Louis Cardinals,Philadelphia Phillies,1,4
2025-04-12T19:05:00Z,New York Yankees,San Francisco Giants,8,4
2025-04-12T20:05:00Z,Athletics,New York Mets,3,1
2025-04-12T20:05:00Z,Baltimore Orioles,Toronto Blue Jays,5,4
2025-04-12T20:10:00Z,Tampa Bay Rays,Atlanta Braves,4,5
2025-04-12T20:10:00Z,Chicago White Sox,Boston Red Sox,3,2
2025-04-12T20:10:00Z,Miami Marlins,Washington Nationals,7,6
2025-04-12T22:10:00Z,Cleveland Guardians,Kansas City Royals,6,3
2025-04-12T22:40:00Z,Cincinnati Reds,Pittsburgh Pirates,5,2
2025-04-12T23:10:00Z,Houston Astros,Los Angeles Angels,1,4
2025-04-13T00:10:00Z,Arizona Diamondbacks,Milwaukee Brewers,5,4
2025-04-13T00:40:00Z,San Diego Padres,Colorado Rockies,2,0
2025-04-13T01:10:00Z,Los Angeles Dodgers,Chicago Cubs,0,16
2025-04-13T01:40:00Z,Seattle Mariners,Texas Rangers,9,2
2025-04-13T17:35:00Z,Baltimore Orioles,Toronto Blue Jays,6,7
2025-04-13T17:35:00Z,New York Yankees,San Francisco Giants,4,5
2025-04-13T17:40:00Z,Cleveland Guardians,Kansas City Royals,2,4
2025-04-13T17:40:00Z,Cincinnati Reds,Pittsburgh Pirates,4,0
2025-04-13T17:40:00Z,Tampa Bay Rays,Atlanta Braves,8,3
2025-04-13T17:40:00Z,Miami Marlins,Washington Nationals,11,4
2025-04-13T18:10:00Z,Houston Astros,Los Angeles Angels,7,3
2025-04-13T18:10:00Z,Minnesota Twins,Detroit Tigers,5,1
2025-04-13T18:10:00Z,Chicago White Sox,Boston Red Sox,1,3
2025-04-13T18:15:00Z,St. Louis Cardinals,Philadelphia Phillies,7,0
2025-04-13T20:05:00Z,Athletics,New York Mets,0,8
2025-04-13T20:10:00Z,San Diego Padres,Colorado Rockies,6,0
2025-04-13T20:10:00Z,Seattle Mariners,Texas Rangers,3,1
2025-04-13T20:10:00Z,Arizona Diamondbacks,Milwaukee Brewers,5,2
2025-04-13T23:10:00Z,Los Angeles Dodgers,Chicago Cubs,2,4
2025-04-14T22:40:00Z,Pittsburgh Pirates,Washington Nationals,10,3
2025-04-14T22:45:00Z,Philadelphia Phillies,San Francisco Giants,4,10
2025-04-14T23:05:00Z,Tampa Bay Rays,Boston Red Sox,16,1
2025-04-14T23:05:00Z,New York Yankees,Kansas City Royals,4,1
2025-04-14T23:07:00Z,Toronto Blue Jays,Atlanta Braves,4,8
2025-04-14T23:40:00Z,Minnesota Twins,New York Mets,1,5
2025-04-14T23:40:00Z,Milwaukee Brewers,Detroit Tigers,1,9
2025-04-14T23:45:00Z,St. Louis Cardinals,Houston Astros,8,3
2025-04-15T01:40:00Z,San Diego Padres,Chicago Cubs,10,4
2025-04-15T02:10:00Z,Los Angeles Dodgers,Colorado Rockies,5,3
2025-04-15T22:40:00Z,Pittsburgh Pirates,Washington Nationals,0,3
2025-04-15T22:40:00Z,Cincinnati Reds,Seattle Mariners,8,4
2025-04-15T22:40:00Z,Miami Marlins,Arizona Diamondbacks,4,10
2025-04-15T22:45:00Z,Philadelphia Phillies,San Francisco Giants,6,4
2025-04-15T23:05:00Z,Baltimore Orioles,Cleveland Guardians,3,6
2025-04-15T23:05:00Z,Tampa Bay Rays,Boston Red Sox,4,7
2025-04-15T23:05:00Z,New York Yankees,Kansas City Royals,4,2
2025-04-15T23:07:00Z,Toronto Blue Jays,Atlanta Braves,6,3
